TOUR CRIETERIA,NAME OF THE TOUR,OTHER,REVIEWS,LINKS
ActivitÈs en plein air ‡ Paris,Paris Canal,"Croisi√®res, Locations de bateaux",427,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038978-Reviews-Paris_Canal-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Marin d'Eau Douce,Locations de bateaux,632,https://www.tripadvisor.fr/Attraction_Review-g187147-d7000992-Reviews-Marin_d_Eau_Douce-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Rent & Go,Visites nocturnes,92,https://www.tripadvisor.fr/Attraction_Review-g187147-d7802702-Reviews-Rent_Go-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Safari,"Excursions √† v√©lo, Visites guid√©es",116,https://www.tripadvisor.fr/Attraction_Review-g187147-d10193001-Reviews-Paris_Safari-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,My Paris River,Croisi√®res,79,https://www.tripadvisor.fr/Attraction_Review-g187147-d6656639-Reviews-My_Paris_River-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,6clo,Visites de la ville,47,https://www.tripadvisor.fr/Attraction_Review-g187147-d10781846-Reviews-6clo-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Vedettes du Pont Neuf,"Visites de la ville, Croisi√®res",1509,https://www.tripadvisor.fr/Attraction_Review-g187147-d2274303-Reviews-Vedettes_du_Pont_Neuf-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Canauxrama,"Visites guid√©es, Croisi√®res",370,https://www.tripadvisor.fr/Attraction_Review-g187147-d241573-Reviews-Canauxrama-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,With Love From Paris Tours,"Visites priv√©es, Visites de la ville",44,https://www.tripadvisor.fr/Attraction_Review-g187147-d9585630-Reviews-With_Love_From_Paris_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,La Marina de Paris Seine River Cruise,Croisi√®res,533,https://www.tripadvisor.fr/Attraction_Review-g187147-d7154430-Reviews-La_Marina_de_Paris_Seine_River_Cruise-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris - Cooltra Shop,Locations de mat√©riel,60,https://www.tripadvisor.fr/Attraction_Review-g187147-d10185796-Reviews-Cooltra_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Cit√© Universitaire,Autres activit√©s de plein air,90,https://www.tripadvisor.fr/Attraction_Review-g187147-d4918663-Reviews-Cite_Universitaire-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Xl Tour,Visites culturelles,63,https://www.tripadvisor.fr/Attraction_Review-g187147-d12621635-Reviews-Xl_Tour-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Darcos Arc de Triomphe,Locations de mat√©riel,39,https://www.tripadvisor.fr/Attraction_Review-g187147-d12232078-Reviews-Darcos_Arc_de_Triomphe-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bateaux Parisiens,"Croisi√®res, Visites guid√©es",3861,https://www.tripadvisor.fr/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Cyclopolitain,Excursions √† v√©lo,60,https://www.tripadvisor.fr/Attraction_Review-g187147-d7338825-Reviews-Cyclopolitain-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Don Juan II,Croisi√®res,168,https://www.tripadvisor.fr/Attraction_Review-g187147-d10432669-Reviews-Don_Juan_II-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris √† v√©lo c'est Sympa,Excursions √† v√©lo,57,https://www.tripadvisor.fr/Attraction_Review-g187147-d189701-Reviews-Paris_A_Velo_C_est_Sympa-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Darcos Bastille,Locations de mat√©riel,53,https://www.tripadvisor.fr/Attraction_Review-g187147-d9800911-Reviews-Darcos_Bastille-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bateaux Mouches,"Croisi√®res, Visites guid√©es",3124,https://www.tripadvisor.fr/Attraction_Review-g187147-d188678-Reviews-Bateaux_Mouches-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Plong√©quilibre,Plong√©e sous-marine et avec tuba,93,https://www.tripadvisor.fr/Attraction_Review-g187147-d7650635-Reviews-Plongequilibre-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,French Mystique Bike Tours,Excursions √† v√©lo,76,https://www.tripadvisor.fr/Attraction_Review-g187147-d2297154-Reviews-French_Mystique_Bike_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Ballon de Paris Generali,Promenades en montgolfi√®re,164,https://www.tripadvisor.fr/Attraction_Review-g187147-d4317981-Reviews-Generali-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Vedettes de Paris,"Visites culturelles, Croisi√®res",616,https://www.tripadvisor.fr/Attraction_Review-g187147-d844427-Reviews-Vedettes_de_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Holland Bikes,Excursions √† v√©lo,134,https://www.tripadvisor.fr/Attraction_Review-g187147-d4408925-Reviews-Holland_Bikes-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Rue Cr√©mieux,Routes touristiques,88,https://www.tripadvisor.fr/Attraction_Review-g187147-d8106117-Reviews-Rue_Cremieux-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,"Paris 'Musts' - City Tour, River Seine Cruise and Lunch",Croisi√®res,160,https://www.tripadvisor.fr/Attraction_Review-g187147-d775828-Reviews-Paris_Musts_City_Tour_River_Seine_Cruise_and_Lunch-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,California Limousine,Locations de mat√©riel,29,https://www.tripadvisor.fr/Attraction_Review-g187147-d6944945-Reviews-California_Limousine-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Hammam Medina Center,"Hammams et bains turcs, Spas",183,https://www.tripadvisor.fr/Attraction_Review-g187147-d598914-Reviews-Hammam_Medina_Center-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Square des Batignolles,Autres activit√©s de plein air,37,https://www.tripadvisor.fr/Attraction_Review-g187147-d6277967-Reviews-Square_des_Batignolles-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Les Berges de Seine,Autres activit√©s de plein air,69,https://www.tripadvisor.fr/Attraction_Review-g187147-d5018945-Reviews-Les_Berges_de_Seine-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Stade Jean Bouin,Autres activit√©s de plein air,42,https://www.tripadvisor.fr/Attraction_Review-g187147-d7174491-Reviews-Stade_Jean_Bouin-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bikeloc,Locations de mat√©riel,39,https://www.tripadvisor.fr/Attraction_Review-g187147-d12506074-Reviews-Bikeloc-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Experience Paris - Guided City Tour,Visites priv√©es,73,https://www.tripadvisor.fr/Attraction_Review-g187147-d1800359-Reviews-Experience_Paris_Guided_City_Tour-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Go Bike Paris,Excursions √† v√©lo,23,https://www.tripadvisor.fr/Attraction_Review-g187147-d10719797-Reviews-Go_Bike_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,City Scooter,Locations de mat√©riel,40,https://www.tripadvisor.fr/Attraction_Review-g187147-d4508232-Reviews-City_Scooter-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,La M√©nagerie du Jardin des Plantes,"Zoos, Sites et monuments",459,https://www.tripadvisor.fr/Attraction_Review-g187147-d189240-Reviews-Menagerie_du_Jardin_des_Plantes-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Cyclo-Cafe Paris,Excursions √† v√©lo,36,https://www.tripadvisor.fr/Attraction_Review-g187147-d7156340-Reviews-Cyclo_Cafe_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Piscine Molitor,Autres activit√©s de plein air,42,https://www.tripadvisor.fr/Attraction_Review-g187147-d7079431-Reviews-Piscine_Molitor-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Marina de Paris,Croisi√®res,250,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587680-Reviews-Marina_de_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Canal de l‚ÄôOurcq,Autres activit√©s de plein air,27,https://www.tripadvisor.fr/Attraction_Review-g187147-d6706137-Reviews-Canal_Ourcq-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Parc zoologique de Paris,Zoos,1974,https://www.tripadvisor.fr/Attraction_Review-g187147-d232166-Reviews-Parc_Zoologique_de_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Plage,Plages,197,https://www.tripadvisor.fr/Attraction_Review-g187147-d487589-Reviews-Paris_Plage-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris en Sc√®ne,Croisi√®res,1201,https://www.tripadvisor.fr/Attraction_Review-g187147-d1942367-Reviews-Paris_en_Scene-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Club Scooter,Locations de mat√©riel,19,https://www.tripadvisor.fr/Attraction_Review-g187147-d6558592-Reviews-Club_Scooter-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Freescoot,Locations de mat√©riel,27,https://www.tripadvisor.fr/Attraction_Review-g187147-d8378855-Reviews-Freescoot-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Le Capitaine Fracasse,Croisi√®res,99,https://www.tripadvisor.fr/Attraction_Review-g187147-d5043675-Reviews-Le_Capitaine_Fracasse-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,eCityBikes,Visites et locations sans guides,12,https://www.tripadvisor.fr/Attraction_Review-g187147-d10755089-Reviews-ECityBikes-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Spa Diane Barri√®re,"Centres de remise en forme, Spas",21,https://www.tripadvisor.fr/Attraction_Review-g187147-d7102539-Reviews-Spa_Diane_Barriere-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Square Saint-Lambert,Autres activit√©s de plein air,16,https://www.tripadvisor.fr/Attraction_Review-g187147-d6981804-Reviews-Square_Saint_Lambert-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bateau mon Paris,"Visites guid√©es, Croisi√®res",18,https://www.tripadvisor.fr/Attraction_Review-g187147-d7274643-Reviews-Bateau_mon_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Small Bike Tours,Excursions √† v√©lo,140,https://www.tripadvisor.fr/Attraction_Review-g187147-d1819445-Reviews-Paris_Small_Bike_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Saint Germain,Autres activit√©s de plein air,35,https://www.tripadvisor.fr/Attraction_Review-g187147-d6440799-Reviews-Paris_Saint_Germain-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,3 Scoot,Locations de mat√©riel,19,https://www.tripadvisor.fr/Attraction_Review-g187147-d8634625-Reviews-3_Scoot-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Location de Barques du Lac Daumesnil,Locations de mat√©riel,11,https://www.tripadvisor.fr/Attraction_Review-g187147-d10446892-Reviews-Location_de_Barques_du_Lac_Daumesnil-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Go! Running Tours Paris,Visites et footing,8,https://www.tripadvisor.fr/Attraction_Review-g187147-d12095349-Reviews-Go_Running_Tours_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Champagne Tasting on a Seine River Cruise,Croisi√®res,23,https://www.tripadvisor.fr/Attraction_Review-g187147-d6652265-Reviews-Champagne_Tasting_on_a_Seine_River_Cruise-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Petite Ceinture du 15√®me Arrondisssement,Autres activit√©s de plein air,28,https://www.tripadvisor.fr/Attraction_Review-g187147-d6728184-Reviews-Petite_Ceinture_du_15eme_Arrondisssement-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Hertz Ride Paris,Locations de mat√©riel,7,https://www.tripadvisor.fr/Attraction_Review-g187147-d13803616-Reviews-Hertz_Ride_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Promenade Quai Branly,Autres activit√©s de plein air,17,https://www.tripadvisor.fr/Attraction_Review-g187147-d7158229-Reviews-Promenade_Quai_Branly-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Pothong Massages Thailandais,"Centres de remise en forme, Spas",13,https://www.tripadvisor.fr/Attraction_Review-g187147-d8743401-Reviews-Pothong_Massages_Thailandais-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,L'Oasis d'Aboukir,Autres activit√©s de plein air,14,https://www.tripadvisor.fr/Attraction_Review-g187147-d6611953-Reviews-L_Oasis_d_Aboukir-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Electric Bike Tours,Excursions √† v√©lo,7,https://www.tripadvisor.fr/Attraction_Review-g187147-d3735527-Reviews-Paris_Electric_Bike_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,The Champagne Cruise,Croisi√®res,10,https://www.tripadvisor.fr/Attraction_Review-g187147-d6756084-Reviews-The_Champagne_Cruise-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Dynamo Cycling,Centres de remise en forme,6,https://www.tripadvisor.fr/Attraction_Review-g187147-d10225473-Reviews-Dynamo_Cycling-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,√î Siam Spa,"Centres de remise en forme, Spas",6,https://www.tripadvisor.fr/Attraction_Review-g187147-d12873986-Reviews-O_Siam_Spa-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bateau Ivre Maxim's,Croisi√®res,7,https://www.tripadvisor.fr/Attraction_Review-g187147-d10784882-Reviews-Bateau_Ivre_Maxim_s-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,321ChuteLibre,Centres de remise en forme,33,https://www.tripadvisor.fr/Attraction_Review-g187147-d3725237-Reviews-321_Chute_Libre-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Bulles Plongee,Plong√©e sous-marine et avec tuba,5,https://www.tripadvisor.fr/Attraction_Review-g187147-d10729160-Reviews-Paris_Bulles_Plongee-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,La Petite Ceinture du 12th arrondissement,Randonn√©es,5,https://www.tripadvisor.fr/Attraction_Review-g187147-d12151643-Reviews-La_Petite_Ceinture_du_12th_arrondissement-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,"Piscine Keller, Piscine Blomet Piscine Suzanne Berlioux",Autres activit√©s de plein air,17,https://www.tripadvisor.fr/Attraction_Review-g187147-d6637938-Reviews-Piscine_Keller_Piscine_Blomet_Piscine_Suzanne_Berlioux-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Visit Paris Running,Visites et footing,7,https://www.tripadvisor.fr/Attraction_Review-g187147-d2142202-Reviews-Visit_Paris_Running-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Free Paris Running Tour,Visites et footing,4,https://www.tripadvisor.fr/Attraction_Review-g187147-d10859283-Reviews-Free_Paris_Running_Tour-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris √† v√©lo Le Grand Huit,Visites de la ville,6,https://www.tripadvisor.fr/Attraction_Review-g187147-d7812274-Reviews-Paris_by_bike_Le_Grand_Huit-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Simply France Tours,"Visites p√©destres, Oenotourisme ",3,https://www.tripadvisor.fr/Attraction_Review-g187147-d14082543-Reviews-Simply_France_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Peniche Priv√©,"Visites priv√©es, Croisi√®res",4,https://www.tripadvisor.fr/Attraction_Review-g187147-d8522700-Reviews-Paris_Peniche_Prive-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Pink School,Autres activit√©s de plein air,8,https://www.tripadvisor.fr/Attraction_Review-g187147-d6581838-Reviews-Pink_School-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Luxury Boat - Private Boat Tours,Croisi√®res,9,https://www.tripadvisor.fr/Attraction_Review-g187147-d6131093-Reviews-Paris_Luxury_Boat_Private_Boat_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Fast and Precious,Locations de mat√©riel,8,https://www.tripadvisor.fr/Attraction_Review-g187147-d9585000-Reviews-Fast_and_Precious-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,ZAC Pajol,Autres activit√©s de plein air,5,https://www.tripadvisor.fr/Attraction_Review-g187147-d4545361-Reviews-ZAC_Pajol-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Centre Equestre Bayard UCPA,Balades √† cheval,5,https://www.tripadvisor.fr/Attraction_Review-g187147-d3568862-Reviews-Centre_Equestre_Bayard_UCPA-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Fronton Chiquito de Cambo,Autres activit√©s de plein air,3,https://www.tripadvisor.fr/Attraction_Review-g187147-d4453189-Reviews-Fronton_Chiquito_de_Cambo-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Les Croisieres Opera,Croisi√®res,4,https://www.tripadvisor.fr/Attraction_Review-g187147-d10262755-Reviews-Les_Croisieres_Opera-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Velord,Locations de mat√©riel,4,https://www.tripadvisor.fr/Attraction_Review-g187147-d3319402-Reviews-Velord-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,BNP Paribas,Autres activit√©s de plein air,4,https://www.tripadvisor.fr/Attraction_Review-g187147-d5456709-Reviews-BNP_Paribas-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Bleu Passion,Autres activit√©s de plein air,2,https://www.tripadvisor.fr/Attraction_Review-g187147-d7053613-Reviews-Bleu_Passion-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,V√©lib' Paris,Locations de mat√©riel,353,https://www.tripadvisor.fr/Attraction_Review-g187147-d8107318-Reviews-Velib_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Baja Bikes Paris,"Excursions √† v√©lo, Visites p√©destres",1,https://www.tripadvisor.fr/Attraction_Review-g187147-d13230589-Reviews-Baja_Bikes_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Fast Challenge,Autres activit√©s de plein air,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d10317818-Reviews-Fast_Challenge-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Stade Elisabeth,Autres activit√©s de plein air,3,https://www.tripadvisor.fr/Attraction_Review-g187147-d5501762-Reviews-Stade_Elisabeth-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Darcos Montparnasse,Locations de mat√©riel,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d9793103-Reviews-Darcos_Montparnasse-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Do Dive Paris,Plong√©e sous-marine et avec tuba,2,https://www.tripadvisor.fr/Attraction_Review-g187147-d2191361-Reviews-Do_Dive_Paris-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Aventours,,6,https://www.tripadvisor.fr/Attraction_Review-g187147-d10436358-Reviews-Aventours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Velo Electro,Locations de mat√©riel,2,https://www.tripadvisor.fr/Attraction_Review-g187147-d1390522-Reviews-Velo_Electro-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Croisiere en boutre,Autres activit√©s de plein air,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d4235037-Reviews-Croisiere_en_boutre-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Gepetto & Velos,Locations de mat√©riel,10,https://www.tripadvisor.fr/Attraction_Review-g187147-d4789712-Reviews-Gepetto_Velos-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Paris Seine,"Croisi√®res, Visites de la ville",1,https://www.tripadvisor.fr/Attraction_Review-g187147-d12661373-Reviews-Paris_Seine-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,French Connection Bicycle Tours,Excursions √† v√©lo,2,https://www.tripadvisor.fr/Attraction_Review-g187147-d624903-Reviews-French_Connection_Bicycle_Tours-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,piscine Saint-Merri,Autres activit√©s de plein air,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d4599987-Reviews-Piscine_Saint_Merri-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Club Pontoise,Autres activit√©s de plein air,2,https://www.tripadvisor.fr/Attraction_Review-g187147-d6829310-Reviews-Club_Pontoise-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Alternative Bike,Locations de mat√©riel,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d2219149-Reviews-Alternative_Bike-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Oliv'Scooter,Locations de mat√©riel,3,https://www.tripadvisor.fr/Attraction_Review-g187147-d10636429-Reviews-Oliv_Scooter-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Interm√®des,Autres activit√©s de plein air,15,https://www.tripadvisor.fr/Attraction_Review-g187147-d5482266-Reviews-Intermedes-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Evasion Verte,Autres activit√©s de plein air,5,https://www.tripadvisor.fr/Attraction_Review-g187147-d6931183-Reviews-Evasion_Verte-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Espace Sportif Pailleron,Autres jeux et divertissements,25,https://www.tripadvisor.fr/Attraction_Review-g187147-d6581854-Reviews-Espace_Sportif_Pailleron-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,V√©lib',Locations de mat√©riel,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d13944925-Reviews-Velib-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Aqua by,Autres activit√©s de plein air,1,https://www.tripadvisor.fr/Attraction_Review-g187147-d5533727-Reviews-Aqua_by-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Allo velo,Locations de mat√©riel,10,https://www.tripadvisor.fr/Attraction_Review-g187147-d11621618-Reviews-Allo_velo-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Le Bateau Aliz√©,"Croisi√®res, Locations de bateaux",53,https://www.tripadvisor.fr/Attraction_Review-g187147-d2463309-Reviews-Le_Bateau_Alize-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Greenlux Car,Visites de la ville,0,https://www.tripadvisor.fr/Attraction_Review-g187147-d7901068-Reviews-Greenlux_Car-Paris_Ile_de_France.html
ActivitÈs en plein air ‡ Paris,Star Tourisme Services,Taxis et navettes,0,https://www.tripadvisor.fr/Attraction_Review-g187147-d12205179-Reviews-Star_Tourisme_Services-Paris_Ile_de_France.html
