,four,one,three,two
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9585630-Reviews-With_Love_From_Paris_Tours-Paris_Ile_de_France.html,With Love From Paris Tours,"Visites privÃ©es, Visites de la ville",44
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7154430-Reviews-La_Marina_de_Paris_Seine_River_Cruise-Paris_Ile_de_France.html,La Marina de Paris Seine River Cruise,CroisiÃ¨res,533
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10185796-Reviews-Cooltra_Paris-Paris_Ile_de_France.html,Paris - Cooltra Shop,Locations de matÃ©riel,60
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4918663-Reviews-Cite_Universitaire-Paris_Ile_de_France.html,CitÃ© Universitaire,Autres activitÃ©s de plein air,90
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12621635-Reviews-Xl_Tour-Paris_Ile_de_France.html,Xl Tour,Visites culturelles,63
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12232078-Reviews-Darcos_Arc_de_Triomphe-Paris_Ile_de_France.html,Darcos Arc de Triomphe,Locations de matÃ©riel,39
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html,Bateaux Parisiens,"CroisiÃ¨res, Visites guidÃ©es",3861
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7338825-Reviews-Cyclopolitain-Paris_Ile_de_France.html,Cyclopolitain,Excursions Ã  vÃ©lo,60
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10432669-Reviews-Don_Juan_II-Paris_Ile_de_France.html,Don Juan II,CroisiÃ¨res,168
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d189701-Reviews-Paris_A_Velo_C_est_Sympa-Paris_Ile_de_France.html,Paris Ã  vÃ©lo c'est Sympa,Excursions Ã  vÃ©lo,57
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9800911-Reviews-Darcos_Bastille-Paris_Ile_de_France.html,Darcos Bastille,Locations de matÃ©riel,53
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d188678-Reviews-Bateaux_Mouches-Paris_Ile_de_France.html,Bateaux Mouches,"CroisiÃ¨res, Visites guidÃ©es",3124
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7650635-Reviews-Plongequilibre-Paris_Ile_de_France.html,PlongÃ©quilibre,PlongÃ©e sous-marine et avec tuba,93
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2297154-Reviews-French_Mystique_Bike_Tours-Paris_Ile_de_France.html,French Mystique Bike Tours,Excursions Ã  vÃ©lo,76
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4317981-Reviews-Generali-Paris_Ile_de_France.html,Ballon de Paris Generali,Promenades en montgolfiÃ¨re,164
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d844427-Reviews-Vedettes_de_Paris-Paris_Ile_de_France.html,Vedettes de Paris,"Visites culturelles, CroisiÃ¨res",616
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4408925-Reviews-Holland_Bikes-Paris_Ile_de_France.html,Holland Bikes,Excursions Ã  vÃ©lo,134
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8106117-Reviews-Rue_Cremieux-Paris_Ile_de_France.html,Rue CrÃ©mieux,Routes touristiques,88
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d775828-Reviews-Paris_Musts_City_Tour_River_Seine_Cruise_and_Lunch-Paris_Ile_de_France.html,"Paris 'Musts' - City Tour, River Seine Cruise and Lunch",CroisiÃ¨res,160
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6944945-Reviews-California_Limousine-Paris_Ile_de_France.html,California Limousine,Locations de matÃ©riel,29
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d598914-Reviews-Hammam_Medina_Center-Paris_Ile_de_France.html,Hammam Medina Center,"Hammams et bains turcs, Spas",183
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6277967-Reviews-Square_des_Batignolles-Paris_Ile_de_France.html,Square des Batignolles,Autres activitÃ©s de plein air,37
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5018945-Reviews-Les_Berges_de_Seine-Paris_Ile_de_France.html,Les Berges de Seine,Autres activitÃ©s de plein air,69
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7174491-Reviews-Stade_Jean_Bouin-Paris_Ile_de_France.html,Stade Jean Bouin,Autres activitÃ©s de plein air,42
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12506074-Reviews-Bikeloc-Paris_Ile_de_France.html,Bikeloc,Locations de matÃ©riel,39
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1800359-Reviews-Experience_Paris_Guided_City_Tour-Paris_Ile_de_France.html,Experience Paris - Guided City Tour,Visites privÃ©es,73
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10719797-Reviews-Go_Bike_Paris-Paris_Ile_de_France.html,Go Bike Paris,Excursions Ã  vÃ©lo,23
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4508232-Reviews-City_Scooter-Paris_Ile_de_France.html,City Scooter,Locations de matÃ©riel,40
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d189240-Reviews-Menagerie_du_Jardin_des_Plantes-Paris_Ile_de_France.html,La MÃ©nagerie du Jardin des Plantes,"Zoos, Sites et monuments",459
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7156340-Reviews-Cyclo_Cafe_Paris-Paris_Ile_de_France.html,Cyclo-Cafe Paris,Excursions Ã  vÃ©lo,36
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7079431-Reviews-Piscine_Molitor-Paris_Ile_de_France.html,Piscine Molitor,Autres activitÃ©s de plein air,42
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587680-Reviews-Marina_de_Paris-Paris_Ile_de_France.html,Marina de Paris,CroisiÃ¨res,250
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6706137-Reviews-Canal_Ourcq-Paris_Ile_de_France.html,Canal de lâ€™Ourcq,Autres activitÃ©s de plein air,27
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d232166-Reviews-Parc_Zoologique_de_Paris-Paris_Ile_de_France.html,Parc zoologique de Paris,Zoos,1974
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d487589-Reviews-Paris_Plage-Paris_Ile_de_France.html,Paris Plage,Plages,197
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1942367-Reviews-Paris_en_Scene-Paris_Ile_de_France.html,Paris en ScÃ¨ne,CroisiÃ¨res,1201
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6558592-Reviews-Club_Scooter-Paris_Ile_de_France.html,Club Scooter,Locations de matÃ©riel,19
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8378855-Reviews-Freescoot-Paris_Ile_de_France.html,Freescoot,Locations de matÃ©riel,27
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5043675-Reviews-Le_Capitaine_Fracasse-Paris_Ile_de_France.html,Le Capitaine Fracasse,CroisiÃ¨res,99
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10755089-Reviews-ECityBikes-Paris_Ile_de_France.html,eCityBikes,Visites et locations sans guides,12
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7102539-Reviews-Spa_Diane_Barriere-Paris_Ile_de_France.html,Spa Diane BarriÃ¨re,"Centres de remise en forme, Spas",21
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6981804-Reviews-Square_Saint_Lambert-Paris_Ile_de_France.html,Square Saint-Lambert,Autres activitÃ©s de plein air,16
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7274643-Reviews-Bateau_mon_Paris-Paris_Ile_de_France.html,Bateau mon Paris,"Visites guidÃ©es, CroisiÃ¨res",18
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1819445-Reviews-Paris_Small_Bike_Tours-Paris_Ile_de_France.html,Paris Small Bike Tours,Excursions Ã  vÃ©lo,140
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6440799-Reviews-Paris_Saint_Germain-Paris_Ile_de_France.html,Paris Saint Germain,Autres activitÃ©s de plein air,35
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8634625-Reviews-3_Scoot-Paris_Ile_de_France.html,3 Scoot,Locations de matÃ©riel,19
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10446892-Reviews-Location_de_Barques_du_Lac_Daumesnil-Paris_Ile_de_France.html,Location de Barques du Lac Daumesnil,Locations de matÃ©riel,11
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12095349-Reviews-Go_Running_Tours_Paris-Paris_Ile_de_France.html,Go! Running Tours Paris,Visites et footing,8
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6652265-Reviews-Champagne_Tasting_on_a_Seine_River_Cruise-Paris_Ile_de_France.html,Champagne Tasting on a Seine River Cruise,CroisiÃ¨res,23
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6728184-Reviews-Petite_Ceinture_du_15eme_Arrondisssement-Paris_Ile_de_France.html,Petite Ceinture du 15Ã¨me Arrondisssement,Autres activitÃ©s de plein air,28
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13803616-Reviews-Hertz_Ride_Paris-Paris_Ile_de_France.html,Hertz Ride Paris,Locations de matÃ©riel,7
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7158229-Reviews-Promenade_Quai_Branly-Paris_Ile_de_France.html,Promenade Quai Branly,Autres activitÃ©s de plein air,17
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8743401-Reviews-Pothong_Massages_Thailandais-Paris_Ile_de_France.html,Pothong Massages Thailandais,"Centres de remise en forme, Spas",13
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6611953-Reviews-L_Oasis_d_Aboukir-Paris_Ile_de_France.html,L'Oasis d'Aboukir,Autres activitÃ©s de plein air,14
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3735527-Reviews-Paris_Electric_Bike_Tours-Paris_Ile_de_France.html,Paris Electric Bike Tours,Excursions Ã  vÃ©lo,7
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6756084-Reviews-The_Champagne_Cruise-Paris_Ile_de_France.html,The Champagne Cruise,CroisiÃ¨res,10
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10225473-Reviews-Dynamo_Cycling-Paris_Ile_de_France.html,Dynamo Cycling,Centres de remise en forme,6
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12873986-Reviews-O_Siam_Spa-Paris_Ile_de_France.html,Ã” Siam Spa,"Centres de remise en forme, Spas",6
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10784882-Reviews-Bateau_Ivre_Maxim_s-Paris_Ile_de_France.html,Bateau Ivre Maxim's,CroisiÃ¨res,7
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3725237-Reviews-321_Chute_Libre-Paris_Ile_de_France.html,321ChuteLibre,Centres de remise en forme,33
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10729160-Reviews-Paris_Bulles_Plongee-Paris_Ile_de_France.html,Paris Bulles Plongee,PlongÃ©e sous-marine et avec tuba,5
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12151643-Reviews-La_Petite_Ceinture_du_12th_arrondissement-Paris_Ile_de_France.html,La Petite Ceinture du 12th arrondissement,RandonnÃ©es,5
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6637938-Reviews-Piscine_Keller_Piscine_Blomet_Piscine_Suzanne_Berlioux-Paris_Ile_de_France.html,"Piscine Keller, Piscine Blomet Piscine Suzanne Berlioux",Autres activitÃ©s de plein air,17
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2142202-Reviews-Visit_Paris_Running-Paris_Ile_de_France.html,Visit Paris Running,Visites et footing,7
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10859283-Reviews-Free_Paris_Running_Tour-Paris_Ile_de_France.html,Free Paris Running Tour,Visites et footing,4
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7812274-Reviews-Paris_by_bike_Le_Grand_Huit-Paris_Ile_de_France.html,Paris Ã  vÃ©lo Le Grand Huit,Visites de la ville,6
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14082543-Reviews-Simply_France_Tours-Paris_Ile_de_France.html,Simply France Tours,"Visites pÃ©destres, Oenotourisme ",3
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8522700-Reviews-Paris_Peniche_Prive-Paris_Ile_de_France.html,Paris Peniche PrivÃ©,"Visites privÃ©es, CroisiÃ¨res",4
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6581838-Reviews-Pink_School-Paris_Ile_de_France.html,Pink School,Autres activitÃ©s de plein air,8
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6131093-Reviews-Paris_Luxury_Boat_Private_Boat_Tours-Paris_Ile_de_France.html,Paris Luxury Boat - Private Boat Tours,CroisiÃ¨res,9
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9585000-Reviews-Fast_and_Precious-Paris_Ile_de_France.html,Fast and Precious,Locations de matÃ©riel,8
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4545361-Reviews-ZAC_Pajol-Paris_Ile_de_France.html,ZAC Pajol,Autres activitÃ©s de plein air,5
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3568862-Reviews-Centre_Equestre_Bayard_UCPA-Paris_Ile_de_France.html,Centre Equestre Bayard UCPA,Balades Ã  cheval,5
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4453189-Reviews-Fronton_Chiquito_de_Cambo-Paris_Ile_de_France.html,Fronton Chiquito de Cambo,Autres activitÃ©s de plein air,3
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10262755-Reviews-Les_Croisieres_Opera-Paris_Ile_de_France.html,Les Croisieres Opera,CroisiÃ¨res,4
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3319402-Reviews-Velord-Paris_Ile_de_France.html,Velord,Locations de matÃ©riel,4
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5456709-Reviews-BNP_Paribas-Paris_Ile_de_France.html,BNP Paribas,Autres activitÃ©s de plein air,4
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7053613-Reviews-Bleu_Passion-Paris_Ile_de_France.html,Bleu Passion,Autres activitÃ©s de plein air,2
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8107318-Reviews-Velib_Paris-Paris_Ile_de_France.html,VÃ©lib' Paris,Locations de matÃ©riel,353
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13230589-Reviews-Baja_Bikes_Paris-Paris_Ile_de_France.html,Baja Bikes Paris,"Excursions Ã  vÃ©lo, Visites pÃ©destres",1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10317818-Reviews-Fast_Challenge-Paris_Ile_de_France.html,Fast Challenge,Autres activitÃ©s de plein air,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5501762-Reviews-Stade_Elisabeth-Paris_Ile_de_France.html,Stade Elisabeth,Autres activitÃ©s de plein air,3
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d9793103-Reviews-Darcos_Montparnasse-Paris_Ile_de_France.html,Darcos Montparnasse,Locations de matÃ©riel,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2191361-Reviews-Do_Dive_Paris-Paris_Ile_de_France.html,Do Dive Paris,PlongÃ©e sous-marine et avec tuba,2
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10436358-Reviews-Aventours-Paris_Ile_de_France.html,Aventours,,6
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d1390522-Reviews-Velo_Electro-Paris_Ile_de_France.html,Velo Electro,Locations de matÃ©riel,2
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4235037-Reviews-Croisiere_en_boutre-Paris_Ile_de_France.html,Croisiere en boutre,Autres activitÃ©s de plein air,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4789712-Reviews-Gepetto_Velos-Paris_Ile_de_France.html,Gepetto & Velos,Locations de matÃ©riel,10
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12661373-Reviews-Paris_Seine-Paris_Ile_de_France.html,Paris Seine,"CroisiÃ¨res, Visites de la ville",1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d624903-Reviews-French_Connection_Bicycle_Tours-Paris_Ile_de_France.html,French Connection Bicycle Tours,Excursions Ã  vÃ©lo,2
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4599987-Reviews-Piscine_Saint_Merri-Paris_Ile_de_France.html,piscine Saint-Merri,Autres activitÃ©s de plein air,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6829310-Reviews-Club_Pontoise-Paris_Ile_de_France.html,Club Pontoise,Autres activitÃ©s de plein air,2
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2219149-Reviews-Alternative_Bike-Paris_Ile_de_France.html,Alternative Bike,Locations de matÃ©riel,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10636429-Reviews-Oliv_Scooter-Paris_Ile_de_France.html,Oliv'Scooter,Locations de matÃ©riel,3
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5482266-Reviews-Intermedes-Paris_Ile_de_France.html,IntermÃ¨des,Autres activitÃ©s de plein air,15
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6931183-Reviews-Evasion_Verte-Paris_Ile_de_France.html,Evasion Verte,Autres activitÃ©s de plein air,5
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6581854-Reviews-Espace_Sportif_Pailleron-Paris_Ile_de_France.html,Espace Sportif Pailleron,Autres jeux et divertissements,25
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13944925-Reviews-Velib-Paris_Ile_de_France.html,VÃ©lib',Locations de matÃ©riel,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d5533727-Reviews-Aqua_by-Paris_Ile_de_France.html,Aqua by,Autres activitÃ©s de plein air,1
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11621618-Reviews-Allo_velo-Paris_Ile_de_France.html,Allo velo,Locations de matÃ©riel,10
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2463309-Reviews-Le_Bateau_Alize-Paris_Ile_de_France.html,Le Bateau AlizÃ©,"CroisiÃ¨res, Locations de bateaux",53
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d7901068-Reviews-Greenlux_Car-Paris_Ile_de_France.html,Greenlux Car,Visites de la ville,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12205179-Reviews-Star_Tourisme_Services-Paris_Ile_de_France.html,Star Tourisme Services,Taxis et navettes,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14189526-Reviews-La_Croisiere_Gourmande-Paris_Ile_de_France.html,La CroisiÃ¨re Gourmande,CroisiÃ¨res,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14133034-Reviews-One_Day_Luxury_Cars-Paris_Ile_de_France.html,One Day Luxury Cars,Locations de matÃ©riel,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14126791-Reviews-Bateaux_de_Paris-Paris_Ile_de_France.html,Bateaux de Paris,CroisiÃ¨res,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14063045-Reviews-Harley_Davidson-Paris_Ile_de_France.html,Harley-Davidson,Locations de matÃ©riel,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13986542-Reviews-Le_Diamant_Bleu-Paris_Ile_de_France.html,Le Diamant Bleu,CroisiÃ¨res,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12707689-Reviews-Gyroroue_Shop-Paris_Ile_de_France.html,Gyroroue-Shop,Locations de matÃ©riel,0
Activités en plein air à Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12551124-Reviews-Sensations_Paris_Plongee-Paris_Ile_de_France.html,Sensations Paris PlongÃ©e,PlongÃ©e sous-marine et avec tuba,0
